Druivensoort,Zuur,Body / vol,Suiker / zoet,Citrusfruit,Appel,Tropisch fruit,Steenfruit,Meloen,Peer,Noten,Rood fruit,Bloemen,Honing,Kruiden
Sauvignon Blanc,5,2,1,5,5,2,1,1,2,0,0,1,0,3
Grüner Veltliner,5,2,1.5,4,5,0,3,2,1,0,1,1,0,3
Palomino,4,2,2,4,5,0,1,1,1,0,0,0,0,0
Albariño,5,1,1.5,4,4,2,1,2,2,0,0,1,0,2
Colombard,5,1,1,5,4,0,0,1,1,0,0,0,0,1
Chenin Blanc,5,2.5,2,5,5,1,1,2,2,0,0,1,0,2
Riesling,5,1,2,5,5,0,2,2,1,0,0,1,0,3
Chardonnay,3,3.5,2,2.5,2,4,5,5,3,3,2,3,2,3
Marsanne,2,3.5,2.5,2,1,4,5,5,3,2,1,3,1,3
Roussanne,3,3.5,2,2,1,4,5,5,3,2,1,2,1,3
Semillon,3,3.5,2,2,1,4,5,5,3,2,1,2,1,2
Trebbiano,4,3,3,3,3,3,4,3,5,4,4,2,2,3
Garganega,4,2,1,3,2,1,4,3,5,4,3,2,2,3
Glera (Prosecco),4,2.5,1,3,3,2,3,3,5,4,3,1,1,0
Pinot Grigio/Pinot Gris,3,2.5,1,2,3,2,4,4,5,3,3,3,1,2
Vermentino,4,2.5,2,3,3,2,3,4,5,4,4,2,2,3
Torrontés,3,3,3,0,1,1,3,3,2,0,1,5,3,5
Gewürztraminer,1,3,4,0,1,1,3,2,2,0,1,5,4,5
Viognier,2,3,3,2,1,1,3,3,3,0,1,4,4,5
Moscato/Muscat,3,1,5,0,2,1,2,2,3,0,1,5,4,5